title,Total_Jobs,Companies,Locations,Job_Percentage
Data Engineer (Medior),1,1,1,0.1
Data Engineer (Platform),1,1,1,0.1
Data Engineer (University Grad),1,1,1,0.1
"Data Engineer , Aladdin Data - Associate",1,1,1,0.1
"Data Engineer - Atlanta, GA",1,1,1,0.1
Data Engineer - C10,1,1,1,0.1
Data Engineer - C11,1,1,1,0.1
Data Engineer - Commerce Platform,1,1,1,0.1
Data Engineer - Content Understanding,1,1,1,0.1
Data Engineer - Databricks,1,1,1,0.1
Data Engineer - Enterprise Data Operations Analyst,1,1,1,0.1
Data Engineer - People Analytics,1,1,1,0.1
Data Engineer - Python,1,1,1,0.1
Data Engineer - Spark,1,1,1,0.1
Data Engineer - Subscriptions,1,1,1,0.1
Data Engineer @ CDMX,1,1,1,0.1
Data Engineer F/H,1,1,1,0.1
Data Engineer Graduate (Ads Data Application) - 2025 Start (BS/MS),1,1,1,0.1
"Data Engineer I (Reno, NV/ Hybrid, US)",1,1,1,0.1
"Data Engineer I, IN-Ads",1,1,1,0.1
"Data Engineer II, PubTech Data, Insights & Analytics",1,1,1,0.1
Data Engineer Jr.,1,1,1,0.1
Data Engineer Specialist,1,1,1,0.1
Data Engineer with Pyspark,1,1,1,0.1
Data Engineer with Python + SQL,1,1,1,0.1
Data Engineer(AWS),1,1,1,0.1
Data Engineer(H/F),1,1,1,0.1
"Data Engineer, Analytics",1,1,1,0.1
"Data Engineer, CPSA",1,1,1,0.1
"Data Engineer, Data Application",1,1,1,0.1
"Data Engineer, Davengers(Data Avengers)",1,1,1,0.1
"Data Engineer, Digital Acceleration",1,1,1,0.1
"Data Engineer, Experimentation",1,1,1,0.1
"Data Engineer, Infrastructure",1,1,1,0.1
"Data Engineer, Marketplace",1,1,1,0.1
"Data Engineer, P2 Science, Data, and Insights",1,1,1,0.1
"Data Engineer, Personalization",1,1,1,0.1
"Data Engineer, Play Data Science and Analytics",1,1,1,0.1
"Data Engineer, Pricing",1,1,1,0.1
"Data Engineer, VX Analytics",1,1,1,0.1
Data Engineer- Python Pyspark,1,1,1,0.1
Data Fulfillment Analyst,1,1,1,0.1
Data Intern,1,1,1,0.1
"Data Lake Reporting Analyst, Deloitte Global Technology",1,1,1,0.1
Data Operation Engineer I,1,1,1,0.1
"Data Platform Analyst, Subscriptions",1,1,1,0.1
Data Review Scientist,1,1,1,0.1
Data Science Analyst,1,1,1,0.1
Data Engineer (L5) - Ads,1,1,1,0.1
Data Science Engineer,1,1,1,0.1
Data Science Senior Associate - Card Data & Analytics,1,1,1,0.1
Data Science Specialist,1,1,1,0.1
"(Canada) Senior Research Scientist, Life Sciences",1,1,1,0.1
Data Scientist (AI/ML),1,1,1,0.1
Data Scientist (Business Operations),1,1,1,0.1
Data Scientist (Climate & Geospatial),1,1,1,0.1
Data Scientist (Entry Level),1,1,1,0.1
Data Scientist (L5) - App QoE,1,1,1,0.1
Data Scientist (L5) - Content,1,1,1,0.1
Data Scientist (L5) - Customer Service,1,1,1,0.1
Data Scientist (L5) - Customer Service Experimentation,1,1,1,0.1
Data Scientist (L5) - Member Algorithm Foundations,1,1,1,0.1
"Data Scientist (L6), Games",1,1,1,0.1
Data Scientist (Python) - Mumbai - Assistant Vice President,1,1,1,0.1
"(US) Senior Research Scientist, Life Sciences",1,1,1,0.1
Data Scientist (m/f/d),1,1,1,0.1
Data Scientist - Last Mile,1,1,1,0.1
Data Scientist - ML & Algorithms Focus,1,1,1,0.1
Data Scientist - Simulation,1,1,1,0.1
Data Scientist - Sports Analytics,1,1,1,0.1
Data Scientist 1,1,1,1,0.1
(USA) Data Engineer III,1,1,1,0.1
Data Scientist II - Client Platform,1,1,1,0.1
Data Scientist III (Commercial Analytics),1,1,1,0.1
** ******* ******** (****** / ****** / €***),1,1,1,0.1
"Data Scientist III, Research, YouTube Ads",1,1,1,0.1
Data Scientist Informatique Quantique (H/F),1,1,1,0.1
Data Scientist Intern,1,1,1,0.1
Data Scientist Jr.,1,1,1,0.1
Data Scientist Senior - MLOps & Transformation (F/H),1,1,1,0.1
Data Scientist Strategy & Value Creation Consulting,1,1,1,0.1
Data Scientist Yape,1,1,1,0.1
Data Scientist and Analysis,1,1,1,0.1
Data Scientist internship,1,1,1,0.1
Data Scientist – Data Science Analytics and Enablement (DSAE),1,1,1,0.1
"Data Scientist,  Marketing Analytics",1,1,1,0.1
"Data Scientist, Consumer Research & Marketing",1,1,1,0.1
"Data Scientist, Customer Analytics (Remote)",1,1,1,0.1
"Data Scientist, Fundamental Sector Data",1,1,1,0.1
"Data Scientist, GTM",1,1,1,0.1
"Data Scientist, Load Forecasting",1,1,1,0.1
"Data Scientist, Marketing",1,1,1,0.1
